timestamp,channel,freq,type,subtype,src_mac,dst_mac,bssid,ssid,rssi,noise,antenna,data_rate,mcs,frame_len,sequence,retry,to_ds,from_ds,qos_tid
2026-02-11 21:26:50,2412,2412,1,12,,ee:3c:fb:7a:52:7e,,,-84,,,1.0,,52,,False,False,False,
2026-02-11 21:26:50,2412,2412,1,13,,ee:3c:fb:7a:52:7e,,,-84,,,1.0,,52,,False,False,False,
2026-02-11 21:26:50,2412,2412,0,8,fa:8f:ca:7f:c0:c0,ff:ff:ff:ff:ff:ff,fa:8f:ca:7f:c0:c0,Polk MagniFi MAX-9205.l003,-76,,,1.0,,212,3440,False,False,False,
2026-02-11 21:26:50,2412,2412,0,8,0c:01:4b:43:62:e4,ff:ff:ff:ff:ff:ff,0c:01:4b:43:62:e4,MANB_2.4G,-55,,,1.0,,486,3352,False,False,False,
2026-02-11 21:26:50,2412,2412,0,8,fa:8f:ca:7f:c0:c0,ff:ff:ff:ff:ff:ff,fa:8f:ca:7f:c0:c0,Polk MagniFi MAX-9205.l003,-76,,,1.0,,212,3441,False,False,False,
2026-02-11 21:26:50,2412,2412,0,8,14:ca:56:fc:04:37,ff:ff:ff:ff:ff:ff,14:ca:56:fc:04:37,Slaydude_tgtwifi_2.4G,-38,,,1.0,,496,3389,False,False,False,
2026-02-11 21:26:50,2412,2412,0,8,64:20:e0:e6:47:75,ff:ff:ff:ff:ff:ff,64:20:e0:e6:47:75,NJWifi_2.4G,-67,,,1.0,,500,3254,False,False,False,
2026-02-11 21:26:50,2412,2412,1,13,,3e:cd:57:0b:b1:2e,,,-83,,,1.0,,52,,False,False,False,
2026-02-11 21:26:50,2412,2412,1,13,,92:24:71:cb:ee:c3,,,-54,,,1.0,,52,,False,False,False,
2026-02-11 21:26:50,2412,2412,0,8,90:d0:92:16:a8:e1,ff:ff:ff:ff:ff:ff,90:d0:92:16:a8:e1,C_est moi 2G,-82,,,1.0,,436,1011,False,False,False,
2026-02-11 21:26:50,2412,2412,2,4,c4:3c:b0:dd:ed:9f,9c:6f:52:fc:7f:5e,9c:6f:52:fc:7f:5e,,-84,,,1.0,,66,0,False,True,False,
2026-02-11 21:26:50,2412,2412,0,8,fa:8f:ca:7f:c0:c0,ff:ff:ff:ff:ff:ff,fa:8f:ca:7f:c0:c0,Polk MagniFi MAX-9205.l003,-76,,,1.0,,212,3442,False,False,False,
2026-02-11 21:26:50,2412,2412,0,5,fa:8f:ca:7f:c0:c0,32:b9:5c:c7:15:68,fa:8f:ca:7f:c0:c0,Polk MagniFi MAX-9205.l003,-76,,,1.0,,206,518,False,False,False,
2026-02-11 21:26:50,2412,2412,0,5,fa:8f:ca:7f:c0:c0,f6:aa:02:21:ba:1c,fa:8f:ca:7f:c0:c0,Polk MagniFi MAX-9205.l003,-78,,,1.0,,206,519,False,False,False,
2026-02-11 21:26:50,2412,2412,0,8,14:ca:56:fc:04:37,ff:ff:ff:ff:ff:ff,14:ca:56:fc:04:37,Slaydude_tgtwifi_2.4G,-38,,,1.0,,496,3392,False,False,False,
2026-02-11 21:26:50,2412,2412,0,8,66:20:e0:46:47:75,ff:ff:ff:ff:ff:ff,66:20:e0:46:47:75,,-67,,,1.0,,423,1735,False,False,False,
2026-02-11 21:26:50,2412,2412,0,8,64:20:e0:e6:47:75,ff:ff:ff:ff:ff:ff,64:20:e0:e6:47:75,NJWifi_2.4G,-67,,,1.0,,500,3256,False,False,False,
2026-02-11 21:26:50,2412,2412,2,4,c4:3c:b0:dd:ed:9f,9c:6f:52:fc:7f:5e,9c:6f:52:fc:7f:5e,,-80,,,1.0,,66,2,False,True,False,
2026-02-11 21:26:50,2412,2412,0,8,0c:01:4b:43:62:e4,ff:ff:ff:ff:ff:ff,0c:01:4b:43:62:e4,MANB_2.4G,-55,,,1.0,,486,3355,False,False,False,
2026-02-11 21:26:51,2412,2412,0,8,14:ca:56:fc:04:37,ff:ff:ff:ff:ff:ff,14:ca:56:fc:04:37,Slaydude_tgtwifi_2.4G,-39,,,1.0,,496,3393,False,False,False,
2026-02-11 21:26:51,2412,2412,1,13,,30:68:93:ce:ab:61,,,-83,,,1.0,,52,,False,False,False,
2026-02-11 21:26:51,2412,2412,0,8,0c:01:4b:43:62:e4,ff:ff:ff:ff:ff:ff,0c:01:4b:43:62:e4,MANB_2.4G,-54,,,1.0,,486,3356,False,False,False,
